Kaizen_title,background,baseline,issue
PIM - Action Process Arm kingfa HGX52 11027-79670,Proses nekuk arm saat sudah di Assy TA mengalami kesulitan dan output menjadi reject sractch ,"reject sractch 100% dan di return ke molding, cav 8 set 4, per jam 379 material kingfa .jalan di mesin E5",Arm kingfa HGX52 11027-79670 reject sractch di TA saat sudah di assy lalu di tekuk - Arm keras ditekuk saat di assy
CR - Curling kaizen quality dan safety improvement,Untuk memastikan shaker berfungsi sesuai fungsinya,Reject yarn karna shaker tidak berfungsi ,"MC no 7 dan 8 getaran kencang  - Berringnya rusak,Box kuning tidak dikeluarkan dari lif - Jika akan menggunakan lif harus mengeluarkan box kosong terlebih dahulu,Lantai ada yg retak - Agar ditambal supaya raya dan tidak tersandung,MC 25 stoper tidak ada - Shaker TDK berfungsi rod dan corong terbentur dan benang tidak stabil "
PO - Kaizen New Line Toy GJM72,New Line,Ct tdk balance di beberapa proses,"Ct tdk balance di proses date code torso dan tag microtach - *proses date code torso + dressing ct: 25 tt: 17
* proses tag microtach pan dgn 2 opt ct 17dan 24 tt: 17 :,Ct tdk balance di proses assy acc dan slot blister acc - * proses assy acc dgn 2 opt ct: 29 dan 30
* proses creasing blister + slot blister acc ct: 19 tt: 17,Ct tdk balance di proses lock insert dan proses doll to IC - *proses lock insert dan TTI 2 ct: 12
* proses date code ic + proses doll to ic ct: 19 tt: 17,Loose microtach jacket 15/211= 71090 ppm - Proses tag microtach pada saat proses terlalu di tekan sehingga lubang terlalu besar dan pada saat melepas jarum  pin ketarik"
PO - New line Toy : HJX96,New line ,CT tdk balance di proses acc dan teaghead ,"Proses tdk balance di proses date code ic dan teaghead  - Proses date code ic dan pasang rb 2pc dan pres j hook CT 23
Proses Teag head dan pasang 1pc RB CT 18,Proses tdk balance di proses date code torso dan shoes CT 20 - Proses date code torso dan pasang costum dan 1pc RB to body CT 23
Proses pasang shoes CT 17,Proses tdk balance di proses pinwaist dan Reggrom  - Proses join head dan pinwaist CT 22
Proses reaggrom bawah dan pulback ct 17,Proses tdk balance di proses pasang acc dan selot acc - Proses selot acc to insert dengan 2 operator CT masing 35
Proses pasang acc gif dan Teag microtek  CT 23"
TA - Improve Quality dan produktifity Toy HLW05 Torso disney,Saat ps lancar,"CT tinggi di clamping CT 14
Pasang arm 9","Upper torso under spray 5/40-Pt part issue ,CT tinggi di proses pasang arm 9-Pasang arm ke upper depan keras,CT tinggi di proses clamping 14-Saat pasang upper belakang sempit.,Joint leg nabrak-Nest sama joint leg tidak center"
STANDARDIZATION COOLING FAN DIMENTION AND TYPE FOR ROBOT PANEL ABB,"NON STANDARD TYPE OF COOLING FAN PANEL,ZERO STOCK IN TOOLCRIB FOR SPAREPART",30/30 NOT STANDARD COOLING FAN TYPE AND DIMENSION,"30/30 COOLING FAN HAVE VARIANT TYPE AND SPECIFICATION (4INCH AND 6 INCH, 24/110/220 Volt requiremant)"
STANDARDIZATION RUBBER COUPLING LIFETIME at PIM,NO LIFE EXPECTATION FOR RUBBER COUPLING,RUBBER COUPLING NOT REPLACED UNTIL BROKEN.,SERVOMOTOR RUNNING WITHOUT RUBBER COUPLING 35/35
Eliminate No Head Issue on Barbell,"There are some defect no head found in A&P, OMC and Development stage (PP)",Found defect no head in 2022: 8 times,"There's no Standardization for All PM Parameter,All machine have abnormal condition causing no head/ detecting no head. ,There's no warn out item to predictive action "
FA - Ramp Up Schedule Toy HJY18,Ramp Up Schedule dari 2100 ke 2470,CT tidak balance di beberapa proses ,"Tidak balance di proses date code insert,rubberband insert 3x,CT nya 16 detik
Proses tag head 2x,pasang sticker CT nya 11 detik,Tidak balance di proses pasang costume dengan pemakaian 2 operator ,CT masing masing 21 detik,
Proses pasang sepatu,joint head,pinwaist 2xCT 16 detik,Proses glue insert,press blister CT nya 15 detik
Proses date code master carton,doll to MC,seal MC CT nya 11 detik"
FA - Excess motion dan produktivity improvement toy HMK51,issue excess motion di beberapa proses,CT tidak balance di beberapa proses,"Tidak balance di proses tag head,joint,buka tule ,buka topeng CT nya 24 detik,,Proses tag crown CT nya 15 detik,Penempatan proses operator gromming tidak berurutan,sehingga operator banyak gerakan jalan mengambil kepala ke proses sebelumnya
Meja gromming 1=belah part line ,ikat rambut,proses sausage bun
meja gromming 2=pilin rambut,tag head output=36 pc per jam
,Tidak balance di proses bang dengan pemakaian 2 operator CT masing masing 35 detik output 205 pc per jam,output yang dibutuhkan 170 pc per jam,
Proses bun dengan pemakaian 2 operator CT nya 48 detik dengan output 150 pc per jam "
FA - RAmp Up schedule toy FJB00,Ramp Up Schedule dari 1800 ke 2000,CT tidak balance di beberapa proses,"Tidak balance di proses dressing CT nya 16 detik output 225 pc,output yang dibutuhkan 270 pc per jam,dengan proses gromming pemakaian 2 operator CT nya 21 detik per masing masing operator,Tidak balance di proses joint head, pinwaist leg 2x,pinwaist arm 2x CT nya 17 detik,dengan proses pinwaist stroller CT nya 9 detik,Tidak balance di proses dressing baby dan pasang shoes baby R L CT nya 17 detik,dengan proses spot welding trade dress CT nya 9 detik,Tidak balance di proses tag head 2x,rubberband hair,rubberband insert untuk tas CT nya 16 detik,dengan proses assy tas dan ikat tas CT nya 9 detik"
SP - PP Kaizen toy HRR10 Upper Torso,Memastikan saat PS berjalan lancar,"Perbedaan proses antara SOP dengan TI,Hasil spray tidak sesuai dengan approve sample,Under spray kurang dari 10x cuci mask,Molded white line","Down time 10 menit karena leader salah dalam meloading jumlah operator
Root Cause:
Adanya perbedaan proses antara SOP dengan TI,Hasil gradasi tidak sesuai dengan approve sample 500.000PPM
Root Cause:
Method spray 2x bagian tali kemudian gradasi,Under bagian leher depan 300.000PPM
Root Cause:
Kurang dari 10x spray paint sudah menutup dengan vicositas paint 17-18,Hasil spray gradasi bergaris 
Root Cause:
Mask gradasi terlalu tinggi sehingga hasil gradasi tdk maksimal"
FA - PP Toy HMV00,PP kaizen untuk memastikan PS dapat berjalan lancar,"Unbalance proses, Excess motion","ditemukan loose bang after oven head, -dengan methode hair bang dan hair crown di dogbrush secara bersamaan.,CT Tinggi di 9901 proses : handsew hair -Take time LDS Ct 53s, actual Ct 213s.,Excess motion di Operator Tiedown tight RL -kesusahan karena jig tidak proper,CT tinggi dan unbalance proses di 9905 dan 9907.-CT tinggi di 9905 proses : strap arm RL,Tiedown tamborin to R arm take time LDs Ct 53s, actual Ct 104s.
 CT tinggi di 9907 proses :Microtack top 3x, Microtack skirt 1X center, Tiedown RL shoes using eva strap.take time LDs Ct 59s actual Ct 125s.,Operator creasing I/c kesusahan saat creasing bagian depan, -karena jig hanya untuk fold IC bagian samping saja"
FA - PP Kaizen HJX21 (27 jun),PP Kaizen untuk memastikan PS dapat berjalan lancar,"Excessmotion, Unalance prosee","Overprocessing dan potensi tear insert di die cut insert flap body blister..- Tie down hair  use 1 inch r band di twist ke flap bottom blister lalu twist ke flap side body blister lalu tie down hair, Potensi wrong Gem Bracelet R & L -.( dilakukan oleh  2 opt yang sama),Imp position Beads string dan Kesu;litan saat proses pasang bead string to RL arm.-saat masukin Bead string sempit,Unbalance di proses 9902,9903,9904,9905-9902:oven head, join head, tie down waist to body blister, attach c-tape attach RL. Ct 58
 9903 proses: tack head to blister 3x, tiedown hair body blister using RB 1"", attach eva strap to RL hand. Ct 69s
9904 Proses: attach handring & posisin to R hand, press hand with jig, release beads string from polybag, attach beads string to RL hand Ct 83s
9905 proses: attach RL bracelet, position bracelet to beads string, attach Rl PET using 1/2"" rband. Ct 55s,Kesulitan saat attach handring dan  Jig handring tidak proper kesulitan saat positioning.- posisi terhalang PET bodt blister. dan saat positioning to jig terhalang ,Unbalance proses di 9907 dan 9908- Butleneck di proses 9907: locking upper insert, attach to jig, Tiedown RL legs with eva strap. tack dress 8x (2 opt). 9908 proses: Locking RL hand to insert using eva strap, attach c-tape 2x, lock insert 2x, take and put dollbase & stic to insert, attach certificate to polybag & tape 2x(1 opt),Potensi tangan tertusuk saat proses microtack dress.-Tidak ada dudukan saat microtach"
GROW - Reduce Misposition Tampo (Q2),-,-,NULL
PO - Kaizen ramp up schedule toy HCN17,Ramp up schedule dari 2400 ke 2800,CT tidak balance di beberapa proses ,"Tidak balance di proses costume dan attack shock-Attack top CT 8 detik
Attack shocks 2pc RL CT 12 detik 
CT=10detik,Tidak balance di proses attack ACC bola , rubberband to blister bola,dengan proses spot welding blister-Proses attack ACC bola,,rubberband to blister bola CT 12 detik
Spot welding blister CT nya 7 detik ,Ditemukan head up pada saat review leader 3/12-Saat proses tie hair kepala terlalu di tarik ke belakang.,sehingga kepalanya dongak "
PO - Newline Toy  HJR98,"balancing proses
tdk ada penumpukkan",balancing proses,"CT tdk balance diproses datecode torso dan Attach shoes -1, clean dudatecode torso 
    take attach Dress
    Release convayer ct 14""
2, Attach R/L shoes
    Attach bracelet to L hand CT 9"",Ct tdk balance diproses tag head dan joinhead -1, oven head 
    Tie down hair to blister
    Tach head 1x 
    pullback
CT 13 ""
2, joinhead 
    Positioning torso to blister CT 9,CT balancing diproses pinwaist dan TTI -1. Positioning hand & Dress 
    es waist 73 mm
    Relase  compayer CT 10""
2. Take Vinyl bag dan insert froom 
     Compayer
     Relase polibag
     Touch up hair dan TTi
     Attach insert To blister 
     Put blister , to jig  
     Attach blister to vinyl bag 
     Relase Vinyl Bag from jig from jig    
     CT 10
"
PO - toy FWV 20,New line ,Line G08,"CT tidak balance diproses datecode torso dengan proses pasang shoes -1 operator proses cleaning, datecode torso, pasang skirt CT 8""
1 operator proses join head,pasang shoes CT 12"",CT tidak balance diproses asesories dengan proses pasang tack sunglasses -1 operator proses Assy Luggage strap to Luggage,pasang pet Luggage to iner,pasang back pack to iner blister CT 14""
2 operator proses twist r/b sunglasses,pasang to head,tack sunglasses to head CT 18"", CT tidak balance diproses put torso to iner blister dengan proses spotwelding -1 operator proses put torso to iner blister,touchp up hair CT 13""
1 operator proses spotwelding CT 8"",Wrong tab in -tabin tercampur dalam 1 ikat,Peletakan pack kosong di proses tack sunglasses terlalu tinggi dan tidak rapi -Operator proses tack sunglasses PD saat meletaka peck kosong tidak beraturan dan terlalu tinggi sehingga bisa menyebabkan kan terjatuh dan mengenai diri sendiri "
FA - Kaizen New Line Toy HJY18,New Line,"Std hrs 86,210, sch 2100, eff 118%","Mesin spot weld no 27 cover monitor pecah--,Finding defect missing acc handdrup bottle 1/6 = 166,666ppm-Operator assy 10pc acc pemasangannya tidak berurutan,Ct tinggi di proses joint head, ES waist 2x, ES leg 1x ct 18s tt 15s dan Ct rendah di proses attach rubber band 1, attach shoes RL ct 12s-Penumpukan di proses pin waist,Ct tinggi di proses slot inner blister to insert ct 19s TT 15s dan Ct rendah di proses assy acc 10pc dengan menggunakan 2 operator masing masing ct 22s & 26s-Penumpukan di proses slot inner blister to insert"
FA - Kaizen New line Toy HLW47,Ramp up sch,"Toy : Hlw47
Sch : 3000
Jam kerja : 9jam
Operator : 17
Topik : New Line
Standar hours : 75,215
Eff : 125%
Line : G08","Ct tidak balance diproses joint head,nembak kepala dan proses pin waist pinggang kaki.-> Proses joint head+nembak kepala ct:12 detik(output 300pc per jam)output yang dibutuhkan 350 pc per jam
> Proses pin waist pinggang+kaki ct:8 detik,Ct tidak balance diproses R/band rambut to arm,dan proses nembak skirt-> Proses R/band rambut to arm ct:9 detik
> Proses nembak skirt ct:11 output 327 pc per jam detik,Ct tidak balance diproses pasanf cap to torso dan proses pasang sepatu,R/band sepatu-> Proses pasang cap to torso ct:6 detik
> Proses pasang shoes+R/band shoes ct:13 detik dengan output 276 pc per jam,output yang dibutuhkan 350 pc per jam,Ct tidak balance diproses date code torso,pasang costume dan proses buka tule+topeng,potong bangs-> Proses date code torso+pasang costume ct:12 detik output 300pc per jam,output yang dibutuhkan 350 pc per jam
> Proses buka tule,topeng+potong bangs ct:9detik"
TP - PP Kaizen HRP81 Backpack,Memastikan saat PS berjalan lancar,Under print di cat warna hitam 10/10,"Under print di warna hitam 20/20= 1000.000 ppm dengan menggunakan cat Black 370
Root cause:
Cat tertinggal di rubber tidak menempel pada part,Kesulitan saat memasukan part ke dalam nest 
Root cause:
Variasi part dengan posisi tali tidak lurus,Kesulitan saat akan  prepare cat black 
Root cause:
TIdak ada keterangan pemakaian cat black di SOP ,Kesulitan saat mengeluarkan part dari nest
Root cause:
Methode cabut dengan menarik part ke belakang,Cover mesin E3 goyang potensi terkena tangan dan lepas
Root cause:
 Baut pada cover mesin kurang satu"
DIJ - PP Kaizen Toy HRP81 Icoffin,Memastikan saat PS berjalan lancar,"Reject smear 10/10,CT tinggi 98/ nest saat mengeluarkan part dari nest","Reject smear 10/10= 1000.000ppm di warna black
Root cause:
Print head tidak ok,Potensi missposisi pada hasil print 
Root cause:
Saat proses PP primer menggunakan majun karena part berubah posisi,Belum ada alat yang proper untuk mengeluarkan part dari nest (hanya menggunakan tooling seperti sumpit)"
PA - PP Kaizen Improvement Quality HRP81 Torso,PP kaizen untuk memastikan ps berjalan sesuai dengan planing,Issue gap 3/20,"Issue gap 3/20 karena rubber clamping tidak senter,Rubber lower torso tidak bisa di pakai/Tidak proper karena doble pin tidak metching dengan rubber plat,Saat proses clamping torso sering jatuh karena penyanggah leg kurang panjang 50/150"
RN Form Digitalization,"Total RN form in 2019: 4650 forms,Paper based (manual) Document,Manual distribution,Paper requires lot of space for storage","24hr 20 min 8s total time spend for RN Form distribution,Rp 565.000 for RN Form paper per month",NULL
PO - New Line HLW18 ,New Line,CT tidak balance di proses pin waist kaki dan proses pasang extension 2pc,"Proses tidak balance di proses D/c torso 
dengan pinwaist body-- Proses D/c torso+custome+join 
CT : 15""      TT : 13
- Proses Pinwaist body+kaki+tangan
CT : 11""       TT : 13,Proses tidak balance di proses pemasangan hair extension 2pc dengan pinwaist tangan-- Proses Pinwaist tangan 2kali + pinwaist rambut 
CT: 11""       TT : 13""
- Proses pasang hair extension 2pc to insert + tab,in
CT : 14""       TT : 13"",Diketemukan inner ACC come off-- Inner ACC banyak yang longgar 
- peletakkan ACC harusnya terlentang menghadap keatas, tapi actualnya tengkurep ."
Mold Qualification Process Flow & Procedure,"-	Mold release to production are not smooth ,-	High rate of modification mold after MQ2 process ",MQ2 current process ,NULL
